Third Party Sharing/Collection-Choice Type-Opt-in,248
Third Party Sharing/Collection-Choice Type-Opt-out link,55
Third Party Sharing/Collection-Choice Type-Opt-out via contacting company,53
Third Party Sharing/Collection-Choice Type-Other,68
Third Party Sharing/Collection-Choice Type-Third-party privacy controls,59
Third Party Sharing/Collection-Choice Type-Unspecified,59
Third Party Sharing/Collection-Does/Does Not-Does,788
Third Party Sharing/Collection-Does/Does Not-Does Not,149
Third Party Sharing/Collection-Identifiability-Aggregated or anonymized,138
Third Party Sharing/Collection-Identifiability-Identifiable,140
Third Party Sharing/Collection-Identifiability-Other,35
Third Party Sharing/Collection-Identifiability-Unspecified,73
Third Party Sharing/Collection-Personal Information Type-Computer information,59
Third Party Sharing/Collection-Personal Information Type-Contact,154
Third Party Sharing/Collection-Personal Information Type-Cookies and tracking elements,165
Third Party Sharing/Collection-Personal Information Type-Demographic,36
Third Party Sharing/Collection-Personal Information Type-Financial,69
Third Party Sharing/Collection-Personal Information Type-Generic personal information,158
Third Party Sharing/Collection-Personal Information Type-Health,15
Third Party Sharing/Collection-Personal Information Type-IP address and device IDs,61
Third Party Sharing/Collection-Personal Information Type-Location,36
Third Party Sharing/Collection-Personal Information Type-Other,133
Third Party Sharing/Collection-Personal Information Type-Personal identifier,13
Third Party Sharing/Collection-Personal Information Type-Survey data,14
Third Party Sharing/Collection-Personal Information Type-Unspecified,200
Third Party Sharing/Collection-Personal Information Type-User Profile,77
Third Party Sharing/Collection-Personal Information Type-User online activities,273
Third Party Sharing/Collection-Purpose-Additional service/feature,303
Third Party Sharing/Collection-Purpose-Advertising,344
Third Party Sharing/Collection-Purpose-Analytics/Research,233
Third Party Sharing/Collection-Purpose-Basic service/feature,381
Third Party Sharing/Collection-Purpose-Legal requirement,295
Third Party Sharing/Collection-Purpose-Marketing,234
Third Party Sharing/Collection-Purpose-Merger/Acquisition,182
Third Party Sharing/Collection-Purpose-Other,159
Third Party Sharing/Collection-Purpose-Personalization/Customization,61
Third Party Sharing/Collection-Purpose-Service operation and security,312
Third Party Sharing/Collection-Purpose-Unspecified,223
Third Party Sharing/Collection-Third Party Entity-Named third party,735
Third Party Sharing/Collection-Third Party Entity-Other,66
Third Party Sharing/Collection-Third Party Entity-Other part of company/affiliate,221
Third Party Sharing/Collection-Third Party Entity-Other users,46
Third Party Sharing/Collection-Third Party Entity-Public,62
Third Party Sharing/Collection-Third Party Entity-Unnamed third party,878
Third Party Sharing/Collection-Third Party Entity-Unspecified,86
Third Party Sharing/Collection-User Type-Other,36
Third Party Sharing/Collection-User Type-Unspecified,31
Third Party Sharing/Collection-User Type-User with account,61
Third Party Sharing/Collection-User Type-User without account,8
"User Access, Edit and Deletion-Access Scope-Other",38
"User Access, Edit and Deletion-Access Scope-Other data about user",39
"User Access, Edit and Deletion-Access Scope-Profile data",49
"User Access, Edit and Deletion-Access Scope-Transactional data",27
"User Access, Edit and Deletion-Access Scope-Unspecified",55
"User Access, Edit and Deletion-Access Scope-User account data",213
"User Access, Edit and Deletion-Access Type-Deactivate account",16
"User Access, Edit and Deletion-Access Type-Delete account (full)",26
"User Access, Edit and Deletion-Access Type-Delete account (partial)",55
"User Access, Edit and Deletion-Access Type-Edit information",258
"User Access, Edit and Deletion-Access Type-Export",1
"User Access, Edit and Deletion-Access Type-None",9
"User Access, Edit and Deletion-Access Type-Other",60
"User Access, Edit and Deletion-Access Type-Unspecified",27
"User Access, Edit and Deletion-Access Type-View",62
"User Access, Edit and Deletion-User Type-Other",21
"User Access, Edit and Deletion-User Type-Unspecified",19
"User Access, Edit and Deletion-User Type-User with account",112
"User Access, Edit and Deletion-User Type-User without account",7
User Choice/Control-Choice Scope-First party collection,215
User Choice/Control-Choice Scope-First party use,451
User Choice/Control-Choice Scope-Third party sharing/collection,217
User Choice/Control-Choice Scope-Third party use,101
User Choice/Control-Choice Scope-Unspecified,115
User Choice/Control-Choice Type-Browser/device privacy controls,173
User Choice/Control-Choice Type-Dont use service/feature,102
User Choice/Control-Choice Type-First-party privacy controls,111
User Choice/Control-Choice Type-Opt-in,157
User Choice/Control-Choice Type-Opt-out link,220
User Choice/Control-Choice Type-Opt-out via contacting company,202
User Choice/Control-Choice Type-Other,106
User Choice/Control-Choice Type-Third-party privacy controls,71
User Choice/Control-Choice Type-Unspecified,120
User Choice/Control-Personal Information Type-Computer information,4
User Choice/Control-Personal Information Type-Contact,141
User Choice/Control-Personal Information Type-Cookies and tracking elements,79
User Choice/Control-Personal Information Type-Demographic,10
User Choice/Control-Personal Information Type-Financial,8
User Choice/Control-Personal Information Type-Generic personal information,43
User Choice/Control-Personal Information Type-Health,7
User Choice/Control-Personal Information Type-IP address and device IDs,1
User Choice/Control-Personal Information Type-Location,15
User Choice/Control-Personal Information Type-Other,47
User Choice/Control-Personal Information Type-Personal identifier,6
User Choice/Control-Personal Information Type-Social media data,5
User Choice/Control-Personal Information Type-Survey data,2
User Choice/Control-Personal Information Type-Unspecified,78
User Choice/Control-Personal Information Type-User online activities,22
User Choice/Control-Personal Information Type-User profile,24
User Choice/Control-Purpose-Additional service/feature,106
User Choice/Control-Purpose-Advertising,113
User Choice/Control-Purpose-Analytics/Research,12
User Choice/Control-Purpose-Basic service/feature,115
User Choice/Control-Purpose-Legal requirement,11
User Choice/Control-Purpose-Marketing,249
User Choice/Control-Purpose-Merger/Acquisition,3
User Choice/Control-Purpose-Other,48
User Choice/Control-Purpose-Personalization/Customization,36
User Choice/Control-Purpose-Service Operation and Security,17
User Choice/Control-Purpose-Unspecified,92
User Choice/Control-User Type-Other,31
User Choice/Control-User Type-Unspecified,16
User Choice/Control-User Type-User with account,82
User Choice/Control-User Type-User without account,14
